dam_name,binran_no,binran_name,basin_raw,total_km2,direct_km2,indirect_km2,all_direct,note
宇奈月ダム,0873,宇奈月ダム,617.5km2（全て直接流域）,617.5,617.5,0,1,
室牧ダム,0846,室牧ダム,128.3km2（直接：85.2km2 間接：43.1km2）,128.3,85.2,43.1,,
熊野川ダム,0865,熊野川（元）ダム,39.8km2（全て直接流域）,39.8,39.8,0,1,ダム便覧の表記は「熊野川（元）ダム」
久婦須川ダム,0879,久婦須川ダム,58.7km2（全て直接流域）,58.7,58.7,0,1,
和田川ダム,0854,和田川ダム,34km2（全て直接流域）,34,34,0,1,
利賀川ダム,0858,利賀川ダム,38km2（全て直接流域）,38,38,0,1,
境川ダム,0870,境川ダム,37.7km2（全て直接流域）,37.7,37.7,0,1,
刀利ダム,0853,刀利ダム,45.9km2（全て直接流域）,45.9,45.9,0,1,
五位ダム,0872,五位ダム,13.8km2（全て直接流域）,13.8,13.8,0,1,
子撫川ダム,0863,子撫川ダム,31.8km2（全て直接流域）,31.8,31.8,0,1,
城端ダム,0877,城端ダム,10.8km2（全て直接流域）,10.8,10.8,0,1,
臼中ダム,0869,臼中ダム,13.5km2（全て直接流域）,13.5,13.5,0,1,
朝日小川ダム,0878,朝日小川ダム,28.3km2（全て直接流域）,28.3,28.3,0,1,
角川ダム,0862,角川ダム,16.2km2（全て直接流域）,16.2,16.2,0,1,
上市川ダム,0850,上市川ダム,44.7km2（全て直接流域）,44.7,44.7,0,1,
上市川第二ダム,0867,上市川第２ダム,38.7km2（全て直接流域）,38.7,38.7,0,1,ダム便覧の表記は「上市川第２ダム」
白岩川ダム,0859,白岩川ダム,24km2（全て直接流域）,24,24,0,1,
舟川ダム,,,,,,,,ダム便覧に該当を確認できず（0830-0904を走査）
布施川ダム,0876,布施川ダム,13km2（全て直接流域）,13,13,0,1,
大谷ダム,,,,,,,,ダム便覧に該当を確認できず（0830-0904を走査）
黒部ダム,0848,黒部ダム,188.5km2（直接：184.5km2 間接：4km2）,188.5,184.5,4,,
有峰ダム,0841,有峰ダム,219.9km2（直接：49.9km2 間接：170km2）,219.9,49.9,170,,
出し平ダム,0881,出し平ダム,461.2km2（全て直接流域）,461.2,461.2,0,1,
