dam_name,pref,slug
宇奈月ダム,toyama,unazuki
室牧ダム,toyama,muromaki
熊野川ダム,toyama,kumanogawa
久婦須川ダム,toyama,kubusugawa
和田川ダム,toyama,wadagawa
利賀川ダム,toyama,togagawa
境川ダム,toyama,sakaigawa
刀利ダム,toyama,tori
五位ダム,toyama,goi
子撫川ダム,toyama,konadegawa
城端ダム,toyama,johana
臼中ダム,toyama,usunaka
朝日小川ダム,toyama,asahiogawa
角川ダム,toyama,kadokawa
上市川ダム,toyama,kamiichigawa
上市川第二ダム,toyama,kamiichigawa-daini
白岩川ダム,toyama,shiraiwagawa
舟川ダム,toyama,funagawa
布施川ダム,toyama,fusegawa
大谷ダム,toyama,otani
黒部ダム,toyama,kurobe
有峰ダム,toyama,arimine
出し平ダム,toyama,dashidaira
