dam_name,water_system,river,lat,lon,manager,rate_available,ofc_cd,obs_cd,note
龍ヶ鼻ダム,九頭竜川,竹田川,36.152371,136.346721,福井県,×,4609,3,貯水率は未提供
永平寺ダム,九頭竜川,永平寺川,36.048659,136.363216,福井県,×,4609,4,貯水率は未提供
笹生川ダム,九頭竜川,真名川,35.843174,136.546511,福井県,×,4609,1,貯水率は未提供
浄土寺川ダム,九頭竜川,浄土寺川,36.063526,136.542479,福井県,×,4609,5,貯水率は未提供
広野ダム,九頭竜川,日野川,35.713934,136.257443,福井県,×,4609,2,貯水率は未提供
桝谷ダム,九頭竜川,桝谷川,35.740912,136.248706,福井県,×,4609,6,貯水率は未提供
大津呂ダム,佐分利川,大津呂川,35.454173,135.630591,福井県,×,4609,7,貯水率・貯水量は未提供
河内川ダム,北川,河内川,35.432500,135.895278,福井県,×,4609,10,貯水率は未提供
九頭竜ダム,九頭竜川,九頭竜川,35.889527,136.688168,国交省,○,22099,1,
真名川ダム,九頭竜川,真名川,35.918083,136.541918,国交省,○,22099,2,
