dam_name,water_system,river,lat,lon,manager,rate_available,ofc_cd,obs_cd,note,manager_office
徳山ダム,木曽川,揖斐川,35.663639,136.502029,水資源機構,○,21811,56,,水資源機構　揖斐川・長良川総合管理所（徳山ダム管理所）
阿木川ダム,木曽川,阿木川,35.425444,137.429973,水資源機構,△,21811,8,,
岩屋ダム,木曽川,馬瀬川,35.760944,137.157707,水資源機構,○,21811,9,,水資源機構　木曽川上流ダム総合管理所（岩屋ダム管理所）
丸山ダム,木曽川,木曽川,35.469007,137.172040,国交省,○,21811,1,新丸山ダム（かさ上げ）建設中。現・丸山ダムの値,
横山ダム,木曽川,揖斐川,35.592890,136.455183,国交省,○,21811,52,,
小里川ダム,庄内川,小里川,35.328658,137.302381,国交省,○,21782,1,,
阿多岐ダム,木曽川,阿多岐川,35.903944,136.902946,岐阜県,×,5377,1,貯水率は未提供,
岩村ダム,木曽川,富田川,35.363165,137.474088,岐阜県,×,5377,3,貯水率は未提供,
大ヶ洞ダム,木曽川,大ケ洞川,35.908052,137.243233,岐阜県,×,5377,5,貯水率は未提供,
中野方ダム,木曽川,中野方川,35.529076,137.339864,岐阜県,×,5377,4,貯水率は未提供,
丹生川ダム,神通川,荒城川,36.216616,137.370628,岐阜県,×,5377,6,貯水率は未提供,
