dam_name,water_system,river,lat,lon,manager,rate_available,ofc_cd,obs_cd,note
手取川ダム,手取川,手取川,36.266975,136.637478,国交省,○,21565,1,白山手取川ジオパーク内。ダムカードは手取川総合開発記念館・道の駅瀬女・白山砂防科学館で配布
大日川ダム,手取川,大日川,36.28967,136.579456,石川県,×,4353,21,貯水率は未提供。堤体上の道路は通行止め（白山市側からは通行可）
内川ダム,犀川,内川,36.472926,136.669922,石川県,×,4353,62,貯水率は未提供
新内川ダム,犀川,内川,36.488611,136.680833,石川県,×,4353,63,貯水率は未提供。貯水量・全流入量も欠測（現在ダムに立ち入ることができないため）
犀川ダム,犀川,犀川,36.43178,136.747513,石川県,×,4353,61,貯水率は未提供。ダムに通じる道路が落石の危険等で閉鎖されており、当分の間行くことができません（国交省ダムカード配布情報より）
辰巳ダム,犀川,犀川,36.498356,136.712837,石川県,×,4353,65,貯水率は未提供
北河内ダム,町野川,河内川,37.37824,137.043285,石川県,×,4353,31,貯水率は未提供。通称やませみ湖
赤瀬ダム,梯川,梯川,36.296726,136.485043,石川県,×,4353,64,貯水率は未提供
九谷ダム,大聖寺川,大聖寺川,36.207473,136.385651,石川県,×,4353,2,貯水率は未提供
我谷ダム,大聖寺川,大聖寺川,36.211005,136.349387,石川県,×,4353,1,貯水率は未提供
八ヶ川ダム,八ケ川,八ケ川,37.262509,136.832056,石川県,×,4353,41,貯水率は未提供
小屋ダム,鵜飼川,鵜飼川,37.392562,137.177567,石川県,×,4353,51,貯水率は未提供
