dam_name,water_system,river,lat,lon,manager,address,reason,source_checked,note,inclusion,inclusion_reason
手取川ダム,手取川,手取川,36.266975,136.637478,国交省,石川県白山市東二口・女原,現在、ダム旅が利用している公開情報源では取得できません,石川県公式（石川のダム／各ダム詳細ページの地図リンク）／国土交通省 ダムカード配布情報,白山手取川ジオパーク内。ダムカードは手取川総合開発記念館・道の駅瀬女で配布,core,石川県「石川のダム」が完成・管理中として掲載し、かつ国土交通省 川の防災情報の石川県ダムカード配布情報（obsDam相当）にも掲載される12基と完全一致。
大日川ダム,手取川,大日川,36.28967,136.579456,石川県,石川県白山市阿手町,現在、ダム旅が利用している公開情報源では取得できません,石川県公式（石川のダム／各ダム詳細ページの地図リンク）／国土交通省 ダムカード配布情報,,core,石川県「石川のダム」が完成・管理中として掲載し、かつ国土交通省 川の防災情報の石川県ダムカード配布情報（obsDam相当）にも掲載される12基と完全一致。
内川ダム,犀川,内川,36.472926,136.669922,石川県,石川県金沢市小原町,現在、ダム旅が利用している公開情報源では取得できません,石川県公式（石川のダム／各ダム詳細ページの地図リンク）／国土交通省 ダムカード配布情報,,core,石川県「石川のダム」が完成・管理中として掲載し、かつ国土交通省 川の防災情報の石川県ダムカード配布情報（obsDam相当）にも掲載される12基と完全一致。
新内川ダム,犀川,内川,36.488611,136.680833,石川県,石川県金沢市小原町,現在、ダム旅が利用している公開情報源では取得できません,国土交通省 川の防災情報（新内川ダム観測所ページの地図中心座標）,石川県公式ページの地図リンクは犀川ダムと同一座標になっており誤りと判断。国交省 川の防災情報の該当観測所ページの座標を採用,core,石川県「石川のダム」が完成・管理中として掲載し、かつ国土交通省 川の防災情報の石川県ダムカード配布情報（obsDam相当）にも掲載される12基と完全一致。
犀川ダム,犀川,犀川,36.43178,136.747513,石川県,石川県金沢市二又新町,現在、ダム旅が利用している公開情報源では取得できません,石川県公式（石川のダム／各ダム詳細ページの地図リンク）／国土交通省 ダムカード配布情報,ダムに通じる道路が落石の危険等で閉鎖されており、当分の間行くことができません（国交省ダムカード配布情報より）,core,石川県「石川のダム」が完成・管理中として掲載し、かつ国土交通省 川の防災情報の石川県ダムカード配布情報（obsDam相当）にも掲載される12基と完全一致。
辰巳ダム,犀川,犀川,36.498356,136.712837,石川県,石川県金沢市相合谷町・上辰巳町,現在、ダム旅が利用している公開情報源では取得できません,石川県公式（石川のダム／各ダム詳細ページの地図リンク）／国土交通省 ダムカード配布情報,,core,石川県「石川のダム」が完成・管理中として掲載し、かつ国土交通省 川の防災情報の石川県ダムカード配布情報（obsDam相当）にも掲載される12基と完全一致。
北河内ダム,町野川,河内川,37.37824,137.043285,石川県,石川県鳳珠郡能登町五十里,現在、ダム旅が利用している公開情報源では取得できません,石川県公式（石川のダム／各ダム詳細ページの地図リンク）／国土交通省 ダムカード配布情報,通称やませみ湖,core,石川県「石川のダム」が完成・管理中として掲載し、かつ国土交通省 川の防災情報の石川県ダムカード配布情報（obsDam相当）にも掲載される12基と完全一致。
赤瀬ダム,梯川,梯川,36.296726,136.485043,石川県,石川県小松市赤瀬町,現在、ダム旅が利用している公開情報源では取得できません,石川県公式（石川のダム／各ダム詳細ページの地図リンク）／国土交通省 ダムカード配布情報,,core,石川県「石川のダム」が完成・管理中として掲載し、かつ国土交通省 川の防災情報の石川県ダムカード配布情報（obsDam相当）にも掲載される12基と完全一致。
九谷ダム,大聖寺川,大聖寺川,36.207473,136.385651,石川県,石川県加賀市山中温泉枯渕町,現在、ダム旅が利用している公開情報源では取得できません,石川県公式（石川のダム／各ダム詳細ページの地図リンク）／国土交通省 ダムカード配布情報,,core,石川県「石川のダム」が完成・管理中として掲載し、かつ国土交通省 川の防災情報の石川県ダムカード配布情報（obsDam相当）にも掲載される12基と完全一致。
我谷ダム,大聖寺川,大聖寺川,36.211005,136.349387,石川県,石川県加賀市山中温泉我谷町,現在、ダム旅が利用している公開情報源では取得できません,石川県公式（石川のダム／各ダム詳細ページの地図リンク）／国土交通省 ダムカード配布情報,,core,石川県「石川のダム」が完成・管理中として掲載し、かつ国土交通省 川の防災情報の石川県ダムカード配布情報（obsDam相当）にも掲載される12基と完全一致。
八ヶ川ダム,八ケ川,八ケ川,37.262509,136.832056,石川県,石川県輪島市門前町定広・地原,現在、ダム旅が利用している公開情報源では取得できません,石川県公式（石川のダム／各ダム詳細ページの地図リンク）／国土交通省 ダムカード配布情報,,core,石川県「石川のダム」が完成・管理中として掲載し、かつ国土交通省 川の防災情報の石川県ダムカード配布情報（obsDam相当）にも掲載される12基と完全一致。
小屋ダム,鵜飼川,鵜飼川,37.392562,137.177567,石川県,石川県珠洲市宝立町柏原,現在、ダム旅が利用している公開情報源では取得できません,石川県公式（石川のダム／各ダム詳細ページの地図リンク）／国土交通省 ダムカード配布情報,,core,石川県「石川のダム」が完成・管理中として掲載し、かつ国土交通省 川の防災情報の石川県ダムカード配布情報（obsDam相当）にも掲載される12基と完全一致。
