dam_name,water_system,river,lat,lon,manager,rate_available,ofc_cd,obs_cd,note
大町ダム,信濃川,高瀬川,36.5140389,137.7819611,国土交通省,○,21545,1,
美和ダム,天竜川,三峰川,35.8133333,138.0819444,国土交通省,○,21831,2,
小渋ダム,天竜川,小渋川,35.6055556,137.9775,国土交通省,○,21831,1,
味噌川ダム,木曽川,木曽川,35.9761111,137.7680556,水資源機構,○,21811,5,
裾花ダム,信濃川,裾花川,36.6647222,138.1238889,長野県,,5121,14,
松川ダム,天竜川,松川,35.5283333,137.7819444,長野県,,21831,10,
湯川ダム,信濃川,湯川,36.3097222,138.5430556,長野県,○,5121,21,
奥裾花ダム,信濃川,裾花川,36.7246056,137.966975,長野県,,5121,15,
奈良井ダム,信濃川,奈良井川,35.9316667,137.8119444,長野県,,5121,13,
古谷ダム,信濃川,抜井川,36.1252778,138.5938889,長野県,○,5121,16,
内村ダム,信濃川,内村川,36.2891667,138.1161111,長野県,,5121,17,
横川ダム,天竜川,横川川,35.9780556,137.9069444,長野県,,21831,7,
片桐ダム,天竜川,松川,35.6183333,137.8533333,長野県,,21831,11,
箕輪ダム,天竜川,沢川,35.925,138.0338889,長野県,,5121,12,
豊丘ダム,信濃川,灰野川,36.6186111,138.3813889,長野県,,5121,18,
金原ダム,信濃川,信濃川管内,36.4088889,138.3613889,長野県,,5121,22,
北山ダム,信濃川,宮川,36.48,138.0536111,長野県,○,5121,20,
水上ダム,信濃川,水上沢川,36.3511111,138.04,長野県,○,5121,23,
小仁熊ダム,信濃川,小仁熊川,36.4191667,138.0005556,長野県,○,5121,24,
余地ダム,信濃川,余地川,36.1613889,138.5663889,長野県,,5121,19,
浅川ダム,信濃川,浅川,36.6916667,138.1902778,長野県,,5121,1,
