dam_name,water_system,river,lat,lon,manager,rate_available,ofc_cd,obs_cd,note
宇奈月ダム,黒部川,黒部川,36.8102778,137.5902778,国交省,○,21556,6,放流通知あり
室牧ダム,神通川,井田川,36.5383333,137.0916667,県土木部,○,4098,63,
熊野川ダム,神通川,熊野川,36.5597222,137.3122222,県土木部,△,4098,61,貯水量・貯水率が欠測
久婦須川ダム,神通川,久婦須川,36.5111111,137.1886111,県土木部,○,4098,62,
和田川ダム,庄川,和田川,36.6547222,137.0397222,県土木部,○,4104,104,
利賀川ダム,庄川,利賀川,36.3277778,136.9986111,県土木部,○,4104,103,かんがい利水なし
境川ダム,庄川,境川,36.3425,136.8394444,県土木部,○,4104,101,県内最大級の貯水量
刀利ダム,小矢部川,小矢部川,36.4672222,136.8102778,県農林,×,4104,122,貯水量のみ・貯水率欄が空
五位ダム,小矢部川,子撫川,36.7525,136.8830556,県農林,×,20534,51,放流量のみ
子撫川ダム,小矢部川,子撫川,36.725,136.8541667,県土木部,○,4105,121,
城端ダム,小矢部川,山田川,36.4838889,136.87,県土木部,○,4104,102,
臼中ダム,小矢部川,打尾川,36.4669444,136.8558333,県農林,×,4104,123,全項目が欠測
朝日小川ダム,北陸その他,小川,36.8880556,137.6177778,県土木部,△,4102,1,貯水量・貯水率が欠測
角川ダム,北陸その他,角川,36.7536111,137.4305556,県土木部,○,4101,21,
上市川ダム,北陸その他,上市川,36.6780556,137.4152778,県土木部,○,4100,41,
上市川第二ダム,北陸その他,上市川,36.6697222,137.4344444,県土木部,○,4100,42,川防表記は「上市川第2ダム」
白岩川ダム,北陸その他,白岩川,36.6394444,137.36,県土木部,○,4100,43,
舟川ダム,北陸その他,舟川,36.8704972,137.5850111,県土木部,○,4102,3,
布施川ダム,北陸その他,布施川,36.8041667,137.5183333,県土木部,○,4101,22,
大谷ダム,北陸その他,大谷川,36.8558333,137.4863889,県土木部,○,4102,2,有効貯水率が極端に低い
